recId,type,legal_name,trade_name,street_address,registration_number,date_first_registered,registration_begins,registration_ends,establishment_status,supervisor_no,supervisor_name,successor_no,successor_name,active,SeqNumber,seqLength,displayLatitude,displayLongitude,locationLabel,houseNumber,street,district,city,postalCode,county,state,country,zip_code_match,original_zip,name_short,independent
"17",PHARMACY,1105 JTP LLC,GENOME PHARMACY,"1105 JERICHO TPKE NEW HYDE PARK, NY 11040-0000","38019",2020-04-07,2020-04-07,2023-03-31,,"37286.0",,,,True,"1.0","1.0","40.7329","-73.68479","1105 Jericho Tpke, New Hyde Park, NY 11040, United States","1105",Jericho Tpke,,New Hyde Park,"11040.0",Nassau,NY,USA,"1","11040","1105",True
"39",PHARMACY,133 DRUG CORP.,LAKEVIEW PHARMACY,"133 LAKEVIEW AVE. LYNBROOK, NY 11563-0000","15748",1977-02-19,2022-03-01,2025-02-28,,"39982.0",,,,True,"1.0","1.0","40.66551","-73.66566","133 Lakeview Ave, Lynbrook, NY 11563, United States","133",Lakeview Ave,,Lynbrook,"11563.0",Nassau,NY,USA,"1","11563","133",True
"41",PHARMACY,135 JERICHO PHARMACY CORP,,"135 WEST JERICHO TURNPIKE STORE #3 HUNTINGTON STATION, NY 11746-0000","38860",2021-06-28,2021-06-28,2024-05-31,,,Type :  PHARMACY             Legal Name :  135 JERICHO PHARMACY CORP                          Trade Name :  Street Address :   135 WEST JERICHO TURNPIKE,,,True,"1.0","1.0","40.82906","-73.41456","135 W Jericho Tpke, Huntington Station, NY 11746, United States","135",W Jericho Tpke,Huntington Station,Huntington Station,"11746.0",Suffolk,NY,USA,"1","11746","135",True
"93",PHARMACY,175 JERICHO PHARMACY CORP.,SYOSSET PHARMACY,"175 JERICHO TPKE. WEST LOBBY SUITE SYOSSET, NY 11791-4532","36613",2018-05-24,2021-05-01,2024-04-30,,,,,,True,"1.0","1.0","40.81083","-73.50985","175 Jericho Tpke, Syosset, NY 11791, United States","175",Jericho Tpke,,Syosset,"11791.0",Nassau,NY,USA,"1","11791","175",True
"98",PHARMACY,"179 ATLANTIC, INC.",HEALTH MART PHARMACY,"29 ATLANTIC AVENUE FREEPORT, NY 11520-0000","26615",2004-04-27,2022-05-01,2025-04-30,,"40035.0",,,,True,"1.0","1.0","40.6463","-73.57716","29 Atlantic Ave, Freeport, NY 11520, United States","29",Atlantic Ave,,Freeport,"11520.0",Nassau,NY,USA,"1","11520","179",True
"109",PHARMACY,1875 LEXINGTON AVENUE LLC OF NYS,QUICK RX,"279 MAIN ST. SUITE 103 NEW PALTZ, NY 12561-1623","38230",2020-10-29,2020-10-29,2023-09-30,,,,,,True,"1.0","1.0","41.742","-74.06729","279 Main St, New Paltz, NY 12561, United States","279",Main St,,New Paltz,"12561.0",Ulster,NY,USA,"1","12561","1875",True
"118",PHARMACY,"200 BASSETT ROAD OPERATING COMPANY, LLC.",,"200 BASSETT ROAD WILLIAMSVILLE, NY 14221-2639","31932",2013-08-06,2019-08-01,2022-07-31,,"56013.0",,,,True,"1.0","1.0","42.99702","-78.73097","200 Bassett Rd, Buffalo, NY 14221, United States","200",Bassett Rd,,Buffalo,"14221.0",Erie,NY,USA,"1","14221","200",True
"130",PHARMACY,"211 MCLEAN AVE. PHARMACY, INC.",MCLEAN AVE PHARMACY,"211 MCLEAN AVE YONKERS, NY 10705-0000","39026",2021-09-23,2021-09-23,2024-08-31,,"39270.0",,,,True,"1.0","1.0","40.91303","-73.88999","211 McLean Ave, Yonkers, NY 10705, United States","211",McLean Ave,Park Hills,Yonkers,"10705.0",Westchester,NY,USA,"1","10705","211",True
"184",PHARMACY,31ST & 3RD PHARMACY INC.,AVITA PHARMACY 1063,"1860 WALT WHITMAN RD. SUITE 700 MELVILLE, NY 11747-0000","27550",2006-01-31,2021-01-01,2023-12-31,,,,,,True,"1.0","1.0","40.76892","-73.42608","1860 Walt Whitman Rd, Melville, NY 11747, United States","1860",Walt Whitman Rd,Melville,Melville,"11747.0",Suffolk,NY,USA,"1","11747",31ST,True
"199",PHARMACY,35 VALLEY AVE LLC,AHMA RX,"35 VALLEY AVE SUITE A ELMSFORD, NY 10523-3001","37579",2019-08-12,2019-08-12,2022-07-31,,,,,,True,"1.0","1.0","41.05364","-73.82265","35 Valley Ave, Elmsford, NY 10523, United States","35",Valley Ave,,Elmsford,"10523.0",Westchester,NY,USA,"1","10523","35",True
"228",PHARMACY,45 LUDLOW PHARMACY & SURGICAL SUPPLIES CORP,THE MEDICINE CABINET PHARMACY 3,"45 LUDLOW ST YONKERS, NY 10705-0000","32143",2013-08-28,2019-08-01,2022-07-31,,"60036.0",,,,True,"1.0","1.0","40.92385","-73.89797","45 Ludlow St, Yonkers, NY 10705, United States","45",Ludlow St,Downtown Yonkers,Yonkers,"10705.0",Westchester,NY,USA,"1","10705","45",True
