GEOID,category,is_hpsa,num_pharmacies_2022,num_pharmacies_2017,num_pharmacies_2012,change_indep_10yr,change_indep_5yr,change_majchain_10yr,change_majchain_5yr
36001000202,HEALTHCARE,False,1.0,0.0,0.0,,,,
36001000202,INDEPENDENT,False,1.0,1.0,0.0,1.0,0.0,,
36001000302,MAJOR CHAIN,False,1.0,3.0,3.0,,,-2.0,-2.0
36001000401,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
36001000403,MAJOR CHAIN,False,2.0,2.0,2.0,,,0.0,0.0
36001000404,PUBLIC,False,1.0,1.0,1.0,,,,
36001000800,INDEPENDENT,False,1.0,1.0,0.0,1.0,0.0,,
36001000800,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
36001001100,INDEPENDENT,False,1.0,1.0,1.0,0.0,0.0,,
36001001500,INDEPENDENT,False,1.0,1.0,0.0,1.0,0.0,,
36001001700,MAJOR CHAIN,False,2.0,2.0,2.0,,,0.0,0.0
36001001802,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
36001001804,INDEPENDENT,False,1.0,1.0,1.0,0.0,0.0,,
36001002000,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
36001002100,HEALTHCARE,False,3.0,3.0,2.0,,,,
36001002100,MAJOR CHAIN,False,3.0,2.0,2.0,,,1.0,1.0
36001002500,HEALTHCARE,False,1.0,0.0,0.0,,,,
36001002600,INDEPENDENT,False,1.0,1.0,1.0,0.0,0.0,,
36001012800,INDEPENDENT,False,1.0,0.0,0.0,1.0,1.0,,
36001013000,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
36001013200,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
36001013300,INDEPENDENT,False,1.0,1.0,1.0,0.0,0.0,,
36001013503,INDEPENDENT,False,1.0,0.0,0.0,1.0,1.0,,
36001013503,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
36001013507,MAJOR CHAIN,False,2.0,2.0,2.0,,,0.0,0.0
36001013510,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
36001013511,MAJOR CHAIN,False,2.0,2.0,2.0,,,0.0,0.0
36001013512,INDEPENDENT,False,2.0,1.0,1.0,1.0,1.0,,
36001013703,MAJOR CHAIN,False,2.0,2.0,2.0,,,0.0,0.0
36001013706,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
36001013707,MAJOR CHAIN,False,2.0,2.0,1.0,,,1.0,0.0
36001013804,INDEPENDENT,False,3.0,2.0,2.0,1.0,1.0,,
36001013804,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
36001013901,HEALTHCARE,False,2.0,2.0,2.0,,,,
36001013901,INDEPENDENT,False,4.0,4.0,3.0,1.0,0.0,,
36001013901,MAJOR CHAIN,False,2.0,3.0,2.0,,,0.0,-1.0
36001014001,INDEPENDENT,False,1.0,1.0,1.0,0.0,0.0,,
36001014001,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
36001014100,MAJOR CHAIN,False,1.0,2.0,1.0,,,0.0,-1.0
36001014201,MAJOR CHAIN,False,3.0,3.0,3.0,,,0.0,0.0
36001014202,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
36001014301,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
36001014402,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
36001014503,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
36001014606,MAJOR CHAIN,False,2.0,2.0,2.0,,,0.0,0.0
36001014608,MAJOR CHAIN,False,1.0,2.0,2.0,,,-1.0,-1.0
36001014609,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
36001014614,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
36001014615,MAJOR CHAIN,False,1.0,1.0,0.0,,,1.0,0.0
36001014617,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
36003950300,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36003950500,HEALTHCARE,True,1.0,1.0,1.0,,,,
36003950500,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36003950600,INDEPENDENT,True,2.0,2.0,2.0,0.0,0.0,,
36003950700,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36003950700,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36003950800,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36003951100,MAJOR CHAIN,True,1.0,2.0,2.0,,,-1.0,-1.0
36005001600,INDEPENDENT,True,2.0,2.0,2.0,0.0,0.0,,
36005001902,INDEPENDENT,False,1.0,1.0,1.0,0.0,0.0,,
36005002002,INDEPENDENT,False,3.0,3.0,2.0,1.0,0.0,,
36005002500,INDEPENDENT,True,3.0,3.0,3.0,0.0,0.0,,
36005002702,INDEPENDENT,True,1.0,2.0,1.0,0.0,-1.0,,
36005002800,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005003500,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005003900,INDEPENDENT,True,8.0,7.0,6.0,2.0,1.0,,
36005003900,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005004100,INDEPENDENT,True,4.0,3.0,3.0,1.0,1.0,,
36005004200,INDEPENDENT,True,1.0,1.0,0.0,1.0,0.0,,
36005004300,INDEPENDENT,True,8.0,6.0,6.0,2.0,2.0,,
36005004600,INDEPENDENT,True,2.0,2.0,1.0,1.0,0.0,,
36005004600,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005004800,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005004800,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005005002,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005005002,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005005100,INDEPENDENT,True,2.0,2.0,2.0,0.0,0.0,,
36005005400,INDEPENDENT,True,2.0,2.0,2.0,0.0,0.0,,
36005005600,INDEPENDENT,True,2.0,2.0,1.0,1.0,0.0,,
36005005902,INDEPENDENT,True,1.0,3.0,3.0,-2.0,-2.0,,
36005006000,INDEPENDENT,True,1.0,0.0,0.0,1.0,1.0,,
36005006100,MAJOR CHAIN,True,1.0,2.0,1.0,,,0.0,-1.0
36005006200,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005006301,MAJOR CHAIN,False,1.0,1.0,2.0,,,-1.0,0.0
36005006500,INDEPENDENT,True,17.0,14.0,11.0,6.0,3.0,,
36005006500,MAJOR CHAIN,True,1.0,1.0,3.0,,,-2.0,0.0
36005006500,MINOR CHAIN,True,1.0,0.0,0.0,,,,
36005006700,INDEPENDENT,True,1.0,2.0,1.0,0.0,-1.0,,
36005006800,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005006900,INDEPENDENT,True,5.0,3.0,2.0,3.0,2.0,,
36005007000,INDEPENDENT,True,2.0,2.0,2.0,0.0,0.0,,
36005007100,INDEPENDENT,True,3.0,3.0,1.0,2.0,0.0,,
36005007100,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005007200,INDEPENDENT,True,2.0,2.0,2.0,0.0,0.0,,
36005007300,INDEPENDENT,True,3.0,4.0,2.0,1.0,-1.0,,
36005007500,INDEPENDENT,True,1.0,1.0,0.0,1.0,0.0,,
36005007600,INDEPENDENT,True,3.0,1.0,0.0,3.0,2.0,,
36005007700,INDEPENDENT,True,2.0,2.0,1.0,1.0,0.0,,
36005007900,INDEPENDENT,True,1.0,0.0,1.0,0.0,1.0,,
