recId,type,legal_name,trade_name,street_address,registration_number,date_first_registered,registration_begins,registration_ends,establishment_status,supervisor_no,supervisor_name,successor_no,successor_name,active,SeqNumber,seqLength,displayLatitude,displayLongitude,locationLabel,houseNumber,street,district,city,postalCode,county,state,country,zip_code_match,original_zip,name_short,independent,name_simplified,category,geometry,index_right,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,is_hpsa
2,PHARMACY,"10 PARK PHARMACY, INC.",PASTEUR PHARMACY,"53 E. 34TH ST. NEW YORK, NY 10016-0000",19404,1987-03-23,2022-04-01,2025-03-31,,37214.0,,,,True,1.0,1.0,40.74753,-73.982,"53 E 34th St, New York, NY 10016, United States",53,E 34th St,Midtown South Central,New York,10016.0,New York,NY,USA,1,10016,10,True,10 PARK PHARMACY INC,INDEPENDENT,POINT (-73.982 40.74753),3590,36,061,007400,36061007400,74,Census Tract 74,G5020,S,174085,0,+40.7462136,-073.9840829,False
3664,PHARMACY,DUANE READE,,"C/O PHARMACY 4 PARK AVE. NEW YORK, NY 10016-0000",20144,1989-03-13,2020-01-01,2022-12-31,,,,,,True,1.0,1.0,40.74684,-73.98183,"4 Park Ave, New York, NY 10016, United States",4,Park Ave,Midtown South Central,New York,10016.0,New York,NY,USA,1,10016,DUANE,False,DUANE READE,MAJOR CHAIN,POINT (-73.98183 40.74684),3590,36,061,007400,36061007400,74,Census Tract 74,G5020,S,174085,0,+40.7462136,-073.9840829,False
8594,PHARMACY,MIDTOWN EAST PHARMACY & SURGICAL LLC,,"161 MADISON AVE. NEW YORK, NY 10016-0000",29513,2009-06-24,2021-06-01,2024-05-31,,35432.0,,,,True,1.0,1.0,40.74679,-73.98348,"161 Madison Ave, New York, NY 10016, United States",161,Madison Ave,Midtown South Central,New York,10016.0,New York,NY,USA,1,10016,MIDTOWN,True,MIDTOWN EAST PHARMACY & SURGICAL LLC,INDEPENDENT,POINT (-73.98348 40.74679),3590,36,061,007400,36061007400,74,Census Tract 74,G5020,S,174085,0,+40.7462136,-073.9840829,False
9707,PHARMACY,PARK IRMAT DRUG CORP.,IRMAT PHARMACY,"2 PARK AVE. NEW YORK, NY 10016-0000",21645,1993-05-10,2016-06-01,2017-07-27,DISCONTINUED,,,,,False,1.0,1.0,40.74618,-73.98231,"2 Park Ave, New York, NY 10016, United States",2,Park Ave,Midtown South Central,New York,10016.0,New York,NY,USA,1,10016,PARK,True,PARK IRMAT DRUG CORP,INDEPENDENT,POINT (-73.98231 40.74618),3590,36,061,007400,36061007400,74,Census Tract 74,G5020,S,174085,0,+40.7462136,-073.9840829,False
3,PHARMACY,101 FIRST CARE PHARMACY INC.,MI CASA RX,"18 EAST 183RD STREET BRONX, NY 10453-0000",32914,2014-08-06,2017-08-01,2020-07-31,,,Type :  PHARMACY             Legal Name :  101 FIRST CARE PHARMACY INC.                       Trade Name :  MI CASA RX                                         Street Address :   18 EAST 183RD STREET,,,False,1.0,1.0,40.85839,-73.90303,"18 E 183rd St, Bronx, NY 10453, United States",18,E 183rd St,Fordham South,Bronx,10453.0,Bronx,NY,USA,1,10453,101,True,101 FIRST CARE PHARMACY INC,INDEPENDENT,POINT (-73.90303 40.85839),2559,36,005,023900,36005023900,239,Census Tract 239,G5020,S,178487,0,+40.8589133,-073.9028682,True
105,PHARMACY,184 WELL CARE PHARMACY INC.,WELLCARE PHARMACY,"70 EAST 184TH ST. BRONX, NY 10468-0000",33547,2015-07-01,2015-07-01,2017-08-23,TRANSFER,,,35563,HOPE PHARMACY INC/ WELL CARE PHARMACY,False,1.0,1.0,40.86,-73.90113,"70 E 184th St, Bronx, NY 10468, United States",70,E 184th St,Fordham South,Bronx,10468.0,Bronx,NY,USA,1,10468,184,True,184 WELL CARE PHARMACY INC,INDEPENDENT,POINT (-73.90113 40.86),2559,36,005,023900,36005023900,239,Census Tract 239,G5020,S,178487,0,+40.8589133,-073.9028682,True
3754,PHARMACY,DUANE READE,,"C/O PHARMACY 58 E. FORDHAM RD. BRONX, NY 10468-5441",24178,1998-11-30,2020-01-01,2021-12-09,DISCONTINUED,,,,,False,1.0,1.0,40.86217,-73.89991,"58 E Fordham Rd, Bronx, NY 10468, United States",58,E Fordham Rd,Fordham South,Bronx,10468.0,Bronx,NY,USA,1,10468,DUANE,False,DUANE READE,MAJOR CHAIN,POINT (-73.89991 40.86217),2559,36,005,023900,36005023900,239,Census Tract 239,G5020,S,178487,0,+40.8589133,-073.9028682,True
3982,PHARMACY,"E. JEROME PHARMACY, INC.",,"1 E. 183RD ST. BRONX, NY 10453-0000",17330,1981-12-08,2020-01-01,2022-12-31,,29628.0,,,,True,1.0,1.0,40.85869,-73.90331,"1 E 183rd St, Bronx, NY 10453, United States",1,E 183rd St,Fordham South,Bronx,10453.0,Bronx,NY,USA,1,10453,E.,True,E JEROME PHARMACY INC,INDEPENDENT,POINT (-73.90331 40.85869),2559,36,005,023900,36005023900,239,Census Tract 239,G5020,S,178487,0,+40.8589133,-073.9028682,True
5129,PHARMACY,FORDHAM ROAD RX INC.,FORDHAM ROAD PHARMACY,"2 E FORDHAM ROAD BRONX, NY 10468-0000",33941,2015-11-02,2021-11-01,2024-10-31,,57643.0,,,,True,1.0,1.0,40.8625131,-73.9008199,"2 E Fordham Rd, Bronx, NY 10468, United States",2,E Fordham Rd,Fordham South,Bronx,10468.0,Bronx,NY,USA,1,10468,FORDHAM,True,FORDHAM ROAD RX INC,INDEPENDENT,POINT (-73.9008199 40.8625131),2559,36,005,023900,36005023900,239,Census Tract 239,G5020,S,178487,0,+40.8589133,-073.9028682,True
6941,PHARMACY,K & G PHARMACY INC.,,"2434 JEROME AVE. BRONX, NY 10468-0000",18005,1984-01-09,2022-02-01,2025-01-31,,30600.0,,,,True,1.0,1.0,40.86212,-73.90137,"2434 Jerome Ave, Bronx, NY 10468, United States",2434,Jerome Ave,Fordham South,Bronx,10468.0,Bronx,NY,USA,1,10468,K,True,K & G PHARMACY INC,INDEPENDENT,POINT (-73.90137 40.86212),2559,36,005,023900,36005023900,239,Census Tract 239,G5020,S,178487,0,+40.8589133,-073.9028682,True
