recId,type,legal_name,trade_name,street_address,registration_number,date_first_registered,registration_begins,registration_ends,establishment_status,supervisor_no,supervisor_name,successor_no,successor_name,active,SeqNumber,seqLength,displayLatitude,displayLongitude,locationLabel,houseNumber,street,district,city,postalCode,county,state,country,zip_code_match,original_zip,name_short,independent,name_simplified,category
0,PHARMACY,"1 STOP PHARMACY & FOOD MART, INC.",,"C/O PHARMACY 71-17 ROOSEVELT AVE JACKSON HEIGHTS, NY 11372-0000",28701,2007-12-12,2007-12-12,2009-03-16,DISCONTINUED,,,,,False,1.0,1.0,40.74705,-73.89432,"71-17 Roosevelt Ave, Jackson Heights, NY 11372, United States",71-17,Roosevelt Ave,Jackson Heights,Jackson Heights,11372.0,Queens,NY,USA,1,11372,1,False,1 STOP PHARMACY & FOOD MART INC,HEALTHCARE
2,PHARMACY,"10 PARK PHARMACY, INC.",PASTEUR PHARMACY,"53 E. 34TH ST. NEW YORK, NY 10016-0000",19404,1987-03-23,2022-04-01,2025-03-31,,37214.0,,,,True,1.0,1.0,40.74753,-73.982,"53 E 34th St, New York, NY 10016, United States",53,E 34th St,Midtown South Central,New York,10016.0,New York,NY,USA,1,10016,10,True,10 PARK PHARMACY INC,INDEPENDENT
3,PHARMACY,101 FIRST CARE PHARMACY INC.,MI CASA RX,"18 EAST 183RD STREET BRONX, NY 10453-0000",32914,2014-08-06,2017-08-01,2020-07-31,,,Type :  PHARMACY             Legal Name :  101 FIRST CARE PHARMACY INC.                       Trade Name :  MI CASA RX                                         Street Address :   18 EAST 183RD STREET,,,False,1.0,1.0,40.85839,-73.90303,"18 E 183rd St, Bronx, NY 10453, United States",18,E 183rd St,Fordham South,Bronx,10453.0,Bronx,NY,USA,1,10453,101,True,101 FIRST CARE PHARMACY INC,INDEPENDENT
5,PHARMACY,101 RX PHARMACY INC,,"9718 101ST AVE. OZONE PARK, NY 11416-0000",38525,2021-02-19,2021-02-19,2024-01-31,,31223.0,,,,True,1.0,1.0,40.68475,-73.84339,"97-18 101st Ave, Ozone Park, NY 11416, United States",97-18,101st Ave,Ozone Park,Ozone Park,11416.0,Queens,NY,USA,1,11416,101,True,101 RX PHARMACY INC,INDEPENDENT
6,PHARMACY,103 PHARMACY INC.,,"2002 SECOND AVENUE STORE 1 NEW YORK, NY 10029-0000",34593,2016-06-22,2019-06-01,2021-05-27,TRANSFER,,,,,False,1.0,1.0,40.78878,-73.94356,"2002 2nd Ave, New York, NY 10029, United States",2002,2nd Ave,East Harlem,New York,10029.0,New York,NY,USA,1,10029,103,True,103 PHARMACY INC,INDEPENDENT
7,PHARMACY,1054 WEST BEECH INC.,KINGS PHARMACY,"1054 WEST BEECH STREET LONG BEACH, NY 11561-0000",26172,2003-08-26,2007-09-01,2010-08-26,TRANSFER,,,30236,PARINDA INC./ KINGS PHARMACY,False,1.0,1.0,40.58582,-73.6989,"1054 W Beech St, Long Beach, NY 11561, United States",1054,W Beech St,,Long Beach,11561.0,Nassau,NY,USA,1,11561,1054,False,1054 WEST BEECH INC,INDEPENDENT
11,PHARMACY,1070 SOUTHERN DRUG LLC,BOCA PHARMACY,"1070 SOUTHERN BLVD BRONX, NY 10459-2499",33179,2014-12-01,2020-12-01,2023-11-30,,30627.0,,,,True,1.0,1.0,40.8252,-73.89173,"1070 Southern Blvd, Bronx, NY 10459, United States",1070,Southern Blvd,Hunts Point,Bronx,10459.0,Bronx,NY,USA,1,10459,1070,True,1070 SOUTHERN DRUG LLC,INDEPENDENT
12,PHARMACY,108 PHARMACY INC.,,"45-02 108TH STREET NEW YORK, NY 11368-0000",39246,2021-12-15,2021-12-15,2024-11-30,,68436.0,,,,True,1.0,1.0,40.74769,-73.85754,"45-02 108th St, New York, NY 11368, United States",45-02,108th St,Corona,New York,11368.0,Queens,NY,USA,1,11368,108,True,108 PHARMACY INC,INDEPENDENT
16,PHARMACY,1101 PHARMACY INC.,FAMILY PHARMACY,"1101 FLATBUSH AVE. BROOKLYN, NY 11226-0000",26228,2003-10-24,2005-01-01,2006-02-27,TRANSFER,,,27614,KAMRAN PHARMACY INC./ FAMILY PHARMACY,False,1.0,1.0,40.64348,-73.95763,"1101 Flatbush Ave, Brooklyn, NY 11226, United States",1101,Flatbush Ave,Flatbush-Ditmas Park,Brooklyn,11226.0,Kings,NY,USA,1,11226,1101,True,1101 PHARMACY INC,INDEPENDENT
17,PHARMACY,1105 JTP LLC,GENOME PHARMACY,"1105 JERICHO TPKE NEW HYDE PARK, NY 11040-0000",38019,2020-04-07,2020-04-07,2023-03-31,,37286.0,,,,True,1.0,1.0,40.7329,-73.68479,"1105 Jericho Tpke, New Hyde Park, NY 11040, United States",1105,Jericho Tpke,,New Hyde Park,11040.0,Nassau,NY,USA,1,11040,1105,True,1105 JTP LLC,INDEPENDENT
