type,legal_name,trade_name,street_address,registration_number,date_first_registered,registration_begins,registration_ends,establishment_status,supervisor_no,supervisor_name,successor_no,successor_name
PHARMACY,"1 STOP PHARMACY & FOOD MART, INC.",,"C/O PHARMACY 71-17 ROOSEVELT AVE JACKSON HEIGHTS, NY 11372-0000",28701,12/12/07,12/12/07,3/16/09,DISCONTINUED,,,,
PHARMACY,10 MONROE DRUG CORP.,VILLAGE SHOPPE PHARMACY,"61 CATHERINE ST NEW YORK, NY 10038-0000",17003,12/8/80,Not on file,12/7/88,TRANSFER,,,20043,"MEDPHARM DRUG & TRADING, INC."
PHARMACY,"10 PARK PHARMACY, INC.",PASTEUR PHARMACY,"53 E. 34TH ST. NEW YORK, NY 10016-0000",19404,3/23/87,4/1/22,3/31/25,,37214,,,
PHARMACY,101 FIRST CARE PHARMACY INC.,MI CASA RX,"18 EAST 183RD STREET BRONX, NY 10453-0000",32914,8/6/14,8/1/17,7/31/20,,,Type :  PHARMACY             Legal Name :  101 FIRST CARE PHARMACY INC.                       Trade Name :  MI CASA RX                                         Street Address :   18 EAST 183RD STREET,,
PHARMACY,101 PHARMACY INC.,,"59 EAST 183RD ST. BRONX, NY 10453-0000",18718,7/30/85,Not on file,6/30/91,DISCONTINUED,,,,
PHARMACY,101 RX PHARMACY INC,,"9718 101ST AVE. OZONE PARK, NY 11416-0000",38525,2/19/21,2/19/21,1/31/24,,31223,,,
PHARMACY,103 PHARMACY INC.,,"2002 SECOND AVENUE STORE 1 NEW YORK, NY 10029-0000",34593,6/22/16,6/1/19,5/27/21,TRANSFER,,,,
PHARMACY,1054 WEST BEECH INC.,KINGS PHARMACY,"1054 WEST BEECH STREET LONG BEACH, NY 11561-0000",26172,8/26/03,9/1/07,8/26/10,TRANSFER,,,30236,PARINDA INC./ KINGS PHARMACY
PHARMACY,"1055 PHARMACY, INC.",,"1055 GRAND CONCOURSE BRONX, NY 10458-0000",18784,9/16/85,Not on file,1/31/90,DISCONTINUED,,,,
PHARMACY,106 GRAHAM AVE. PHARMACY INC.,FAMACIA SALUD,"106 GRAHAM AVE. BROOKLYN, NY 11206-0000",15273,12/20/75,Not on file,10/7/97,TRANSFER,,,23399,MEDLY PHARMACY INC./ MEDLY PHARMACY
PHARMACY,1068 DRUG CORP.,MIDWOOD MEDICAL PHARMACY,"1068 FLATBUSH AVE. BROOKLYN, NY 11226-0000",17979,12/9/83,Not on file,2/12/01,DISCONTINUED,,,,
PHARMACY,1070 SOUTHERN DRUG LLC,BOCA PHARMACY,"1070 SOUTHERN BLVD BRONX, NY 10459-2499",33179,12/1/14,12/1/20,11/30/23,,30627,,,
PHARMACY,108 PHARMACY INC.,,"45-02 108TH STREET NEW YORK, NY 11368-0000",39246,12/15/21,12/15/21,11/30/24,,68436,,,
PHARMACY,108TH ST. PHARMACY INC.,3RD AVE. PRESCRIPTION CENTER,"1980 THIRD AVE. NEW YORK, NY 10029-0000",14817,11/30/74,Not on file,3/23/98,TRANSFER,,,23429,"THIRD AVE. PRESCRIPTION CENTER, INC."
PHARMACY,110 NORTH MAIN PHARMACY CORP.,DRUG MART OF NORTH MAIN,"110 N. MAIN ST. SPRING VALLEY, NY 10977-0000",17623,11/29/82,Not on file,5/22/98,DISCONTINUED,,,,
